"","Unicode","Description"
"187","U+1F198","SQUARED SOS"
"188","U+1F199","SQUARED UP WITH EXCLAMATION MARK"
"189","U+1F19A","SQUARED VS"
"190","U+1F201","SQUARED KATAKANA KOKO"
"191","U+1F202","SQUARED KATAKANA SA"
"192","U+1F21A","SQUARED CJK UNIFIED IDEOGRAPH-7121"
"193","U+1F22F","SQUARED CJK UNIFIED IDEOGRAPH-6307"
"194","U+1F232","SQUARED CJK UNIFIED IDEOGRAPH-7981"
"195","U+1F233","SQUARED CJK UNIFIED IDEOGRAPH-7A7A"
"196","U+1F234","SQUARED CJK UNIFIED IDEOGRAPH-5408"
"197","U+1F235","SQUARED CJK UNIFIED IDEOGRAPH-6E80"
"198","U+1F236","SQUARED CJK UNIFIED IDEOGRAPH-6709"
"199","U+1F237","SQUARED CJK UNIFIED IDEOGRAPH-6708"
"200","U+1F238","SQUARED CJK UNIFIED IDEOGRAPH-7533"
"201","U+1F239","SQUARED CJK UNIFIED IDEOGRAPH-5272"
"202","U+1F23A","SQUARED CJK UNIFIED IDEOGRAPH-55B6"
"203","U+1F250","CIRCLED IDEOGRAPH ADVANTAGE"
"204","U+1F251","CIRCLED IDEOGRAPH ACCEPT"
"205","U+00A9","COPYRIGHT SIGN"
"206","U+00AE","REGISTERED SIGN"
"207","U+203C","DOUBLE EXCLAMATION MARK"
"208","U+2049","EXCLAMATION QUESTION MARK"
"209","U+2122","TRADE MARK SIGN"
"210","U+2139","INFORMATION SOURCE"
"211","U+2194","LEFT RIGHT ARROW"
"212","U+2195","UP DOWN ARROW"
"213","U+2196","NORTH WEST ARROW"
"214","U+2197","NORTH EAST ARROW"
"215","U+2198","SOUTH EAST ARROW"
"216","U+2199","SOUTH WEST ARROW"
"217","U+21A9","LEFTWARDS ARROW WITH HOOK"
"218","U+21AA","RIGHTWARDS ARROW WITH HOOK"
"219","U+231A","WATCH"
"220","U+231B","HOURGLASS"
"221","U+23E9","BLACK RIGHT-POINTING DOUBLE TRIANGLE"
"222","U+23EA","BLACK LEFT-POINTING DOUBLE TRIANGLE"
"223","U+23EB","BLACK UP-POINTING DOUBLE TRIANGLE"
"224","U+23EC","BLACK DOWN-POINTING DOUBLE TRIANGLE"
"225","U+23F0","ALARM CLOCK"
"226","U+23F3","HOURGLASS WITH FLOWING SAND"
"227","U+25AA","BLACK SMALL SQUARE"
"228","U+25AB","WHITE SMALL SQUARE"
"229","U+25B6","BLACK RIGHT-POINTING TRIANGLE"
"230","U+25C0","BLACK LEFT-POINTING TRIANGLE"
"231","U+25FB","WHITE MEDIUM SQUARE"
"232","U+25FC","BLACK MEDIUM SQUARE"
"233","U+25FD","WHITE MEDIUM SMALL SQUARE"
"234","U+25FE","BLACK MEDIUM SMALL SQUARE"
"235","U+2600","BLACK SUN WITH RAYS"
"236","U+2601","CLOUD"
"237","U+260E","BLACK TELEPHONE"
"238","U+2611","BALLOT BOX WITH CHECK"
"239","U+2614","UMBRELLA WITH RAIN DROPS"
"240","U+2615","HOT BEVERAGE"
"241","U+261D","WHITE UP POINTING INDEX"
"242","U+263A","WHITE SMILING FACE"
"243","U+2648","ARIES"
"244","U+2649","TAURUS"
"245","U+264A","GEMINI"
"246","U+264B","CANCER"
"247","U+264C","LEO"
"248","U+264D","VIRGO"
"249","U+264E","LIBRA"
"250","U+264F","SCORPIUS"
"251","U+2650","SAGITTARIUS"
"252","U+2651","CAPRICORN"
"253","U+2652","AQUARIUS"
"254","U+2653","PISCES"
"255","U+2660","BLACK SPADE SUIT"
"256","U+2663","BLACK CLUB SUIT"
"257","U+2665","BLACK HEART SUIT"
"258","U+2666","BLACK DIAMOND SUIT"
"259","U+2668","HOT SPRINGS"
"260","U+267B","BLACK UNIVERSAL RECYCLING SYMBOL"
"261","U+267F","WHEELCHAIR SYMBOL"
"262","U+2693","ANCHOR"
"263","U+26A0","WARNING SIGN"
"264","U+26A1","HIGH VOLTAGE SIGN"
"265","U+26AA","MEDIUM WHITE CIRCLE"
"266","U+26AB","MEDIUM BLACK CIRCLE"
"267","U+26BD","SOCCER BALL"
"268","U+26BE","BASEBALL"
"269","U+26C4","SNOWMAN WITHOUT SNOW"
"270","U+26C5","SUN BEHIND CLOUD"
"271","U+26CE","OPHIUCHUS"
"272","U+26D4","NO ENTRY"
"273","U+26EA","CHURCH"
"274","U+26F2","FOUNTAIN"
"275","U+26F3","FLAG IN HOLE"
"276","U+26F5","SAILBOAT"
"277","U+26FA","TENT"
"278","U+26FD","FUEL PUMP"
"279","U+2934","ARROW POINTING RIGHTWARDS THEN CURVING UPWARDS"
"280","U+2935","ARROW POINTING RIGHTWARDS THEN CURVING DOWNWARDS"
"281","U+2B05","LEFTWARDS BLACK ARROW"
"282","U+2B06","UPWARDS BLACK ARROW"
"283","U+2B07","DOWNWARDS BLACK ARROW"
"284","U+2B1B","BLACK LARGE SQUARE"
"285","U+2B1C","WHITE LARGE SQUARE"
"286","U+2B50","WHITE MEDIUM STAR"
"287","U+2B55","HEAVY LARGE CIRCLE"
"288","U+3030","WAVY DASH"
"289","U+303D","PART ALTERNATION MARK"
"290","U+3297","CIRCLED IDEOGRAPH CONGRATULATION"
"291","U+3299","CIRCLED IDEOGRAPH SECRET"
"292","U+1F004","MAHJONG TILE RED DRAGON"
"293","U+1F0CF","PLAYING CARD BLACK JOKER"
"294","U+1F300","CYCLONE"
"295","U+1F301","FOGGY"
"296","U+1F302","CLOSED UMBRELLA"
"297","U+1F303","NIGHT WITH STARS"
"298","U+1F304","SUNRISE OVER MOUNTAINS"
"299","U+1F305","SUNRISE"
"300","U+1F306","CITYSCAPE AT DUSK"
"301","U+1F307","SUNSET OVER BUILDINGS"
"302","U+1F308","RAINBOW"
"303","U+1F309","BRIDGE AT NIGHT"
"304","U+1F30A","WATER WAVE"
"305","U+1F30B","VOLCANO"
"306","U+1F30C","MILKY WAY"
"307","U+1F30F","EARTH GLOBE ASIA-AUSTRALIA"
"308","U+1F311","NEW MOON SYMBOL"
"309","U+1F313","FIRST QUARTER MOON SYMBOL"
"310","U+1F314","WAXING GIBBOUS MOON SYMBOL"
"311","U+1F315","FULL MOON SYMBOL"
"312","U+1F319","CRESCENT MOON"
"313","U+1F31B","FIRST QUARTER MOON WITH FACE"
"314","U+1F31F","GLOWING STAR"
"315","U+1F320","SHOOTING STAR"
"316","U+1F330","CHESTNUT"
"317","U+1F331","SEEDLING"
"318","U+1F334","PALM TREE"
"319","U+1F335","CACTUS"
"320","U+1F337","TULIP"
"321","U+1F338","CHERRY BLOSSOM"
"322","U+1F339","ROSE"
"323","U+1F33A","HIBISCUS"
"324","U+1F33B","SUNFLOWER"
"325","U+1F33C","BLOSSOM"
"326","U+1F33D","EAR OF MAIZE"
"327","U+1F33E","EAR OF RICE"
"328","U+1F33F","HERB"
"329","U+1F340","FOUR LEAF CLOVER"
"330","U+1F341","MAPLE LEAF"
"331","U+1F342","FALLEN LEAF"
"332","U+1F343","LEAF FLUTTERING IN WIND"
"333","U+1F344","MUSHROOM"
"334","U+1F345","TOMATO"
"335","U+1F346","AUBERGINE"
"336","U+1F347","GRAPES"
"337","U+1F348","MELON"
"338","U+1F349","WATERMELON"
"339","U+1F34A","TANGERINE"
"340","U+1F34C","BANANA"
"341","U+1F34D","PINEAPPLE"
"342","U+1F34E","RED APPLE"
"343","U+1F34F","GREEN APPLE"
"344","U+1F351","PEACH"
"345","U+1F352","CHERRIES"
"346","U+1F353","STRAWBERRY"
"347","U+1F354","HAMBURGER"
"348","U+1F355","SLICE OF PIZZA"
"349","U+1F356","MEAT ON BONE"
"350","U+1F357","POULTRY LEG"
"351","U+1F358","RICE CRACKER"
"352","U+1F359","RICE BALL"
"353","U+1F35A","COOKED RICE"
"354","U+1F35B","CURRY AND RICE"
"355","U+1F35C","STEAMING BOWL"
"356","U+1F35D","SPAGHETTI"
"357","U+1F35E","BREAD"
"358","U+1F35F","FRENCH FRIES"
"359","U+1F360","ROASTED SWEET POTATO"
"360","U+1F361","DANGO"
"361","U+1F362","ODEN"
"362","U+1F363","SUSHI"
"363","U+1F364","FRIED SHRIMP"
"364","U+1F365","FISH CAKE WITH SWIRL DESIGN"
"365","U+1F366","SOFT ICE CREAM"
"366","U+1F367","SHAVED ICE"
"367","U+1F368","ICE CREAM"
"368","U+1F369","DOUGHNUT"
"369","U+1F36A","COOKIE"
"370","U+1F36B","CHOCOLATE BAR"
"371","U+1F36C","CANDY"
"372","U+1F36D","LOLLIPOP"
"373","U+1F36E","CUSTARD"
"374","U+1F36F","HONEY POT"
"375","U+1F370","SHORTCAKE"
"376","U+1F371","BENTO BOX"
"377","U+1F372","POT OF FOOD"
"378","U+1F373","COOKING"
"379","U+1F374","FORK AND KNIFE"
"380","U+1F375","TEACUP WITHOUT HANDLE"
"381","U+1F376","SAKE BOTTLE AND CUP"
"382","U+1F377","WINE GLASS"
"383","U+1F378","COCKTAIL GLASS"
"384","U+1F379","TROPICAL DRINK"
"385","U+1F37A","BEER MUG"
"386","U+1F37B","CLINKING BEER MUGS"
"387","U+1F380","RIBBON"
"388","U+1F381","WRAPPED PRESENT"
"389","U+1F382","BIRTHDAY CAKE"
"390","U+1F383","JACK-O-LANTERN"
"391","U+1F384","CHRISTMAS TREE"
"392","U+1F385","FATHER CHRISTMAS"
"393","U+1F386","FIREWORKS"
"394","U+1F387","FIREWORK SPARKLER"
"395","U+1F388","BALLOON"
"396","U+1F389","PARTY POPPER"
"397","U+1F38A","CONFETTI BALL"
"398","U+1F38B","TANABATA TREE"
"399","U+1F38C","CROSSED FLAGS"
"400","U+1F38D","PINE DECORATION"
"401","U+1F38E","JAPANESE DOLLS"
"402","U+1F38F","CARP STREAMER"
"403","U+1F390","WIND CHIME"
"404","U+1F391","MOON VIEWING CEREMONY"
"405","U+1F392","SCHOOL SATCHEL"
"406","U+1F393","GRADUATION CAP"
"407","U+1F3A0","CAROUSEL HORSE"
"408","U+1F3A1","FERRIS WHEEL"
"409","U+1F3A2","ROLLER COASTER"
"410","U+1F3A3","FISHING POLE AND FISH"
"411","U+1F3A4","MICROPHONE"
"412","U+1F3A5","MOVIE CAMERA"
"413","U+1F3A6","CINEMA"
"414","U+1F3A7","HEADPHONE"
"415","U+1F3A8","ARTIST PALETTE"
"416","U+1F3A9","TOP HAT"
"417","U+1F3AA","CIRCUS TENT"
"418","U+1F3AB","TICKET"
"419","U+1F3AC","CLAPPER BOARD"
"420","U+1F3AD","PERFORMING ARTS"
"421","U+1F3AE","VIDEO GAME"
"422","U+1F3AF","DIRECT HIT"
"423","U+1F3B0","SLOT MACHINE"
"424","U+1F3B1","BILLIARDS"
"425","U+1F3B2","GAME DIE"
"426","U+1F3B3","BOWLING"
"427","U+1F3B4","FLOWER PLAYING CARDS"
"428","U+1F3B5","MUSICAL NOTE"
"429","U+1F3B6","MULTIPLE MUSICAL NOTES"
"430","U+1F3B7","SAXOPHONE"
"431","U+1F3B8","GUITAR"
"432","U+1F3B9","MUSICAL KEYBOARD"
"433","U+1F3BA","TRUMPET"
"434","U+1F3BB","VIOLIN"
"435","U+1F3BC","MUSICAL SCORE"
"436","U+1F3BD","RUNNING SHIRT WITH SASH"
"437","U+1F3BE","TENNIS RACQUET AND BALL"
"438","U+1F3BF","SKI AND SKI BOOT"
"439","U+1F3C0","BASKETBALL AND HOOP"
"440","U+1F3C1","CHEQUERED FLAG"
"441","U+1F3C2","SNOWBOARDER"
"442","U+1F3C3","RUNNER"
"443","U+1F3C4","SURFER"
"444","U+1F3C6","TROPHY"
"445","U+1F3C8","AMERICAN FOOTBALL"
"446","U+1F3CA","SWIMMER"
"447","U+1F3E0","HOUSE BUILDING"
"448","U+1F3E1","HOUSE WITH GARDEN"
"449","U+1F3E2","OFFICE BUILDING"
"450","U+1F3E3","JAPANESE POST OFFICE"
"451","U+1F3E5","HOSPITAL"
"452","U+1F3E6","BANK"
"453","U+1F3E7","AUTOMATED TELLER MACHINE"
"454","U+1F3E8","HOTEL"
"455","U+1F3E9","LOVE HOTEL"
"456","U+1F3EA","CONVENIENCE STORE"
"457","U+1F3EB","SCHOOL"
"458","U+1F3EC","DEPARTMENT STORE"
"459","U+1F3ED","FACTORY"
"460","U+1F3EE","IZAKAYA LANTERN"
"461","U+1F3EF","JAPANESE CASTLE"
"462","U+1F3F0","EUROPEAN CASTLE"
"463","U+1F40C","SNAIL"
"464","U+1F40D","SNAKE"
"465","U+1F40E","HORSE"
"466","U+1F411","SHEEP"
"467","U+1F412","MONKEY"
"468","U+1F414","CHICKEN"
"469","U+1F417","BOAR"
"470","U+1F418","ELEPHANT"
"471","U+1F419","OCTOPUS"
"472","U+1F41A","SPIRAL SHELL"
"473","U+1F41B","BUG"
"474","U+1F41C","ANT"
"475","U+1F41D","HONEYBEE"
"476","U+1F41E","LADY BEETLE"
"477","U+1F41F","FISH"
"478","U+1F420","TROPICAL FISH"
"479","U+1F421","BLOWFISH"
"480","U+1F422","TURTLE"
"481","U+1F423","HATCHING CHICK"
"482","U+1F424","BABY CHICK"
"483","U+1F425","FRONT-FACING BABY CHICK"
"484","U+1F426","BIRD"
"485","U+1F427","PENGUIN"
"486","U+1F428","KOALA"
"487","U+1F429","POODLE"
"488","U+1F42B","BACTRIAN CAMEL"
"489","U+1F42C","DOLPHIN"
"490","U+1F42D","MOUSE FACE"
"491","U+1F42E","COW FACE"
"492","U+1F42F","TIGER FACE"
"493","U+1F430","RABBIT FACE"
"494","U+1F431","CAT FACE"
"495","U+1F432","DRAGON FACE"
"496","U+1F433","SPOUTING WHALE"
"497","U+1F434","HORSE FACE"
"498","U+1F435","MONKEY FACE"
"499","U+1F436","DOG FACE"
"500","U+1F437","PIG FACE"
"501","U+1F438","FROG FACE"
"502","U+1F439","HAMSTER FACE"
"503","U+1F43A","WOLF FACE"
"504","U+1F43B","BEAR FACE"
"505","U+1F43C","PANDA FACE"
"506","U+1F43D","PIG NOSE"
"507","U+1F43E","PAW PRINTS"
"508","U+1F440","EYES"
"509","U+1F442","EAR"
"510","U+1F443","NOSE"
"511","U+1F444","MOUTH"
"512","U+1F445","TONGUE"
"513","U+1F446","WHITE UP POINTING BACKHAND INDEX"
"514","U+1F447","WHITE DOWN POINTING BACKHAND INDEX"
"515","U+1F448","WHITE LEFT POINTING BACKHAND INDEX"
"516","U+1F449","WHITE RIGHT POINTING BACKHAND INDEX"
"517","U+1F44A","FISTED HAND SIGN"
"518","U+1F44B","WAVING HAND SIGN"
"519","U+1F44C","OK HAND SIGN"
"520","U+1F44D","THUMBS UP SIGN"
"521","U+1F44E","THUMBS DOWN SIGN"
"522","U+1F44F","CLAPPING HANDS SIGN"
"523","U+1F450","OPEN HANDS SIGN"
"524","U+1F451","CROWN"
"525","U+1F452","WOMANS HAT"
"526","U+1F453","EYEGLASSES"
"527","U+1F454","NECKTIE"
"528","U+1F455","T-SHIRT"
"529","U+1F456","JEANS"
"530","U+1F457","DRESS"
"531","U+1F458","KIMONO"
"532","U+1F459","BIKINI"
"533","U+1F45A","WOMANS CLOTHES"
